Sales_U,Sales_USD,Date
124885,129350,JAN0591.1
105285,107408,JAN1291.1
138363,136313,JAN1991.1
111494,113805,JAN2691.1
110686,113761,FEB0291.1
117199,121647,FEB0991.1
118615,122548,FEB1691.1
118847,125338,FEB2391.1
127952,135556,MAR0291.1
127798,133990,MAR0991.1
148744,152099,MAR1691.1
131981,136197,MAR2391.1
182559,191517,MAR3091.1
167607,169594,APR0691.1
139220,147887,APR1391.1
135372,142918,APR2091.1
136894,146856,APR2791.1
149846,161695,MAY0491.1
163378,174244,MAY1191.1
146728,158299,MAY1891.1
157598,169047,MAY2591.1
134317,144103,JUN0191.1
124384,135156,JUN0891.1
125264,135726,JUN1591.1
106087,117485,JUN2291.1
133226,145080,JUN2991.1
172272,182624,JUL0691.1
116089,128921,JUL1391.1
107093,120168,JUL2091.1
105153,119201,JUL2791.1
115674,131766,AUG0391.1
115628,128833,AUG1091.1
132864,147371,AUG1791.1
117772,134727,AUG2491.1
159161,176483,AUG3191.1
137864,155221,SEP0791.1
128183,144816,SEP1491.1
104327,118729,SEP2191.1
117468,130711,SEP2891.1
132344,141608,OCT0591.1
122698,139003,OCT1291.1
123145,140989,OCT1991.1
120775,135539,OCT2691.1
124522,141877,NOV0291.1
129720,147660,NOV0991.1
121330,134075,NOV1691.1
174175,187461,NOV2391.1
179993,190805,NOV3091.1
135794,145091,DEC0791.1
147156,162385,DEC1491.1
250819,269677,DEC2191.1
195663,215501,DEC2891.1
152833,171868,JAN0492.1
146791,164923,JAN1192.1
163850,183460,JAN1892.1
151696,169242,JAN2592.1
133198,150880,FEB0192.1
122976,139358,FEB0892.1
122514,139051,FEB1592.1
121964,132746,FEB2292.1
163999,174971,FEB2992.1
148046,167882,MAR0792.1
139178,157870,MAR1492.1
131292,147838,MAR2192.1
147612,163676,MAR2892.1
158572,179561,APR0492.1
172929,188491,APR1192.1
214812,243632,APR1892.1
164925,192342,APR2592.1
180673,203694,MAY0292.1
194018,216372,MAY0992.1
174295,195555,MAY1692.1
206829,225800,MAY2392.1
153948,174456,MAY3092.1
189631,211053,JUN0692.1
165597,189097,JUN1392.1
178684,196954,JUN2092.1
181434,199512,JUN2792.1
253185,281319,JUL0492.1
196780,217568,JUL1192.1
164418,186803,JUL1892.1
160778,180335,JUL2592.1
163251,184513,AUG0192.1
164180,185986,AUG0892.1
162433,184228,AUG1592.1
160605,180057,AUG2292.1
191456,201510,AUG2992.1
398276,306251,SEP0592.1
206288,210361,SEP1292.1
126158,140789,SEP1992.1
106190,119280,SEP2692.1
114016,128241,OCT0392.1
118891,132586,OCT1092.1
122654,134419,OCT1792.1
113796,128289,OCT2492.1
116289,131752,OCT3192.1
140538,151064,NOV0792.1
169682,175685,NOV1492.1
264589,260436,NOV2192.1
292666,271505,NOV2892.1
132475,146864,DEC0592.1
181175,185060,DEC1292.1
201451,201088,DEC1992.1
263318,274691,DEC2692.1
