Sales_U,Sales_USD,Date
302306,316739,JAN0591.1
287260,296130,JAN1291.1
307435,316440,JAN1991.1
294160,309993,JAN2691.1
300197,311884,FEB0291.1
319693,331283,FEB0991.1
289370,300648,FEB1691.1
301329,303807,FEB2391.1
304963,316763,MAR0291.1
304127,317463,MAR0991.1
299868,313590,MAR1691.1
335483,349046,MAR2391.1
432755,454133,MAR3091.1
348651,360838,APR0691.1
320465,337647,APR1391.1
296988,314060,APR2091.1
311504,328343,APR2791.1
365760,377772,MAY0491.1
343422,363768,MAY1191.1
445409,451405,MAY1891.1
471983,495404,MAY2591.1
413248,431907,JUN0191.1
431974,436525,JUN0891.1
422852,446031,JUN1591.1
459204,469022,JUN2291.1
460270,483506,JUN2991.1
504945,535345,JUL0691.1
356481,383830,JUL1391.1
365183,397833,JUL2091.1
368845,390616,JUL2791.1
388670,421501,AUG0391.1
328830,366643,AUG1091.1
309222,346749,AUG1791.1
327039,362205,AUG2491.1
418397,455985,AUG3191.1
352359,390810,SEP0791.1
311445,339995,SEP1491.1
270909,298842,SEP2191.1
256133,285482,SEP2891.1
273709,304792,OCT0591.1
247127,278933,OCT1291.1
242213,274408,OCT1991.1
234448,267132,OCT2691.1
254578,289044,NOV0291.1
371004,381387,NOV0991.1
401886,424254,NOV1691.1
462159,478148,NOV2391.1
497259,514737,NOV3091.1
430693,444773,DEC0791.1
380640,406418,DEC1491.1
492998,549682,DEC2191.1
386109,441642,DEC2891.1
302767,345332,JAN0492.1
260282,296338,JAN1192.1
271872,304981,JAN1892.1
310015,336747,JAN2592.1
266406,297513,FEB0192.1
358188,395279,FEB0892.1
297549,333604,FEB1592.1
268970,306624,FEB2292.1
273661,309807,FEB2992.1
345307,373048,MAR0792.1
287816,327230,MAR1492.1
320272,357942,MAR2192.1
305190,339289,MAR2892.1
332108,361000,APR0492.1
345455,384180,APR1192.1
492236,539593,APR1892.1
298295,330910,APR2592.1
337654,375695,MAY0292.1
356906,404231,MAY0992.1
414209,454675,MAY1692.1
643756,687153,MAY2392.1
437075,480319,MAY3092.1
465718,503361,JUN0692.1
389645,436489,JUN1392.1
387601,434521,JUN2092.1
344753,381319,JUN2792.1
561294,603571,JUL0492.1
424575,456863,JUL1192.1
377983,409209,JUL1892.1
353239,386367,JUL2592.1
335157,372602,AUG0192.1
342974,386104,AUG0892.1
359178,400397,AUG1592.1
364730,404282,AUG2292.1
439700,472864,AUG2992.1
455767,479690,SEP0592.1
372166,405045,SEP1292.1
330552,355528,SEP1992.1
280124,310082,SEP2692.1
294344,327164,OCT0392.1
276771,309119,OCT1092.1
252904,285864,OCT1792.1
265068,295770,OCT2492.1
249130,280999,OCT3192.1
270962,305702,NOV0792.1
270766,304729,NOV1492.1
341232,379624,NOV2192.1
424955,473366,NOV2892.1
358501,389666,DEC0592.1
325466,359743,DEC1292.1
352813,395923,DEC1992.1
466706,525864,DEC2692.1
